episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,26,0.52,0.00597,-0.08214,0.14309,0.24145,-0.15534,-0.19419,0.82573,0.82422,0.82733,0.82578,0.82449,0.82724,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00633,0.00633,-0.0967,-0.0967,0.15388,0.15388,0.25642,0.25642,-0.16062,-0.16062,-0.21254,-0.21254,220.0,220.0
1,27,0.54,0.00622,-0.08718,0.15264,0.25128,-0.1586,-0.20675,0.82574,0.82424,0.82734,0.82578,0.82449,0.82724,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00658,0.00658,-0.10196,-0.10196,0.16399,0.16399,0.26606,0.26606,-0.16351,-0.16351,-0.22543,-0.22543,220.0,220.0
1,28,0.56,0.00647,-0.09238,0.16257,0.26095,-0.1616,-0.21952,0.82574,0.82424,0.82733,0.82578,0.82447,0.82724,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00682,0.00682,-0.10739,-0.10739,0.1745,0.1745,0.27552,0.27552,-0.16615,-0.16615,-0.23851,-0.23851,220.0,220.0
1,29,0.58,0.00671,-0.09774,0.17288,0.27045,-0.16435,-0.23248,0.82575,0.82426,0.82733,0.82578,0.82447,0.82725,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00706,0.00706,-0.11299,-0.11299,0.1854,0.1854,0.28478,0.28478,-0.16852,-0.16852,-0.25175,-0.25175,220.0,220.0
1,30,0.6,0.00695,-0.10327,0.1836,0.27977,-0.16684,-0.24561,0.82575,0.82427,0.82733,0.82577,0.82445,0.82725,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.0073,0.0073,-0.11876,-0.11876,0.1967,0.1967,0.29383,0.29383,-0.17063,-0.17063,-0.26514,-0.26514,220.0,220.0
1,31,0.62,0.00719,-0.10896,0.1947,0.28888,-0.16907,-0.2589,0.82575,0.82427,0.82732,0.82576,0.82444,0.82725,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00753,0.00753,-0.1247,-0.1247,0.2084,0.2084,0.30263,0.30263,-0.17247,-0.17247,-0.27865,-0.27865,220.0,220.0
1,32,0.64,0.00742,-0.11484,0.20621,0.29775,-0.17102,-0.27233,0.82576,0.82429,0.82732,0.82576,0.82444,0.82726,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00775,0.00775,-0.13083,-0.13083,0.2205,0.2205,0.31118,0.31118,-0.17402,-0.17402,-0.29228,-0.29228,220.0,220.0
1,33,0.66,0.00765,-0.12089,0.2181,0.30638,-0.1727,-0.28587,0.82576,0.8243,0.82732,0.82575,0.82442,0.82726,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00797,0.00797,-0.13713,-0.13713,0.23298,0.23298,0.31944,0.31944,-0.17529,-0.17529,-0.306,-0.306,220.0,220.0
1,34,0.68,0.00787,-0.12712,0.23039,0.31475,-0.17409,-0.29951,0.82577,0.82431,0.82732,0.82576,0.82442,0.82727,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00818,0.00818,-0.14362,-0.14362,0.24585,0.24585,0.32742,0.32742,-0.17627,-0.17627,-0.3198,-0.3198,220.0,220.0
1,35,0.7,0.00809,-0.13352,0.24306,0.32283,-0.1752,-0.31324,0.82576,0.82431,0.82731,0.82574,0.82439,0.82725,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00839,0.00839,-0.15028,-0.15028,0.25909,0.25909,0.33508,0.33508,-0.17695,-0.17695,-0.33364,-0.33364,220.0,220.0
1,36,0.72,0.0083,-0.14011,0.25609,0.3306,-0.17601,-0.32702,0.82577,0.82432,0.82731,0.82573,0.82438,0.82725,0.52171,0.00831,0.02489,1.0,0.0,0.0,0.0,0.00859,0.00859,-0.15713,-0.15713,0.27269,0.27269,0.34242,0.34242,-0.17733,-0.17733,-0.34751,-0.34751,220.0,220.0
1,37,0.74,0.0085,-0.14687,0.26949,0.33806,-0.17652,-0.34084,0.82578,0.82434,0.82731,0.82574,0.82438,0.82727,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00879,0.00879,-0.16414,-0.16414,0.28662,0.28662,0.34941,0.34941,-0.17739,-0.17739,-0.36139,-0.36139,220.0,220.0
1,38,0.76,0.0087,-0.15381,0.28323,0.34519,-0.17672,-0.35468,0.82578,0.82434,0.82731,0.82573,0.82437,0.82727,0.52171,0.00831,0.02489,1.0,0.0,-0.0,0.0,0.00897,0.00897,-0.17132,-0.17132,0.30087,0.30087,0.35606,0.35606,-0.17715,-0.17715,-0.37525,-0.37525,220.0,220.0
1,39,0.78,0.00888,-0.16091,0.29729,0.35198,-0.17661,-0.36851,0.82579,0.82436,0.82731,0.82573,0.82436,0.82727,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.00915,0.00915,-0.17867,-0.17867,0.31541,0.31541,0.36235,0.36235,-0.17659,-0.17659,-0.38907,-0.38907,220.0,220.0
1,40,0.8,0.00907,-0.16818,0.31165,0.35842,-0.1762,-0.38231,0.82579,0.82437,0.82731,0.82573,0.82435,0.82727,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.00933,0.00933,-0.18616,-0.18616,0.33022,0.33022,0.36828,0.36828,-0.17572,-0.17572,-0.40282,-0.40282,220.0,220.0
1,41,0.82,0.00924,-0.1756,0.32628,0.36451,-0.17547,-0.39606,0.82579,0.82437,0.8273,0.82571,0.82434,0.82727,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.00949,0.00949,-0.1938,-0.1938,0.34526,0.34526,0.37384,0.37384,-0.17453,-0.17453,-0.4165,-0.4165,220.0,220.0
1,42,0.84,0.00941,-0.18317,0.34116,0.37023,-0.17444,-0.40974,0.82581,0.82439,0.82731,0.82572,0.82434,0.82728,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.00965,0.00965,-0.20157,-0.20157,0.36051,0.36051,0.37903,0.37903,-0.17305,-0.17305,-0.43006,-0.43006,220.0,220.0
1,43,0.86,0.00958,-0.19087,0.35625,0.3756,-0.1731,-0.42332,0.8258,0.82439,0.82729,0.8257,0.82432,0.82727,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.0098,0.0098,-0.20945,-0.20945,0.37593,0.37593,0.38387,0.38387,-0.17127,-0.17127,-0.44349,-0.44349,220.0,220.0
1,44,0.88,0.00973,-0.19869,0.37152,0.3806,-0.17147,-0.43677,0.82581,0.8244,0.82729,0.82571,0.82431,0.82728,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.00995,0.00995,-0.21744,-0.21744,0.39148,0.39148,0.38834,0.38834,-0.1692,-0.1692,-0.45677,-0.45677,220.0,220.0
1,45,0.9,0.00988,-0.20662,0.38695,0.38525,-0.16955,-0.45009,0.82582,0.82442,0.8273,0.82571,0.82431,0.8273,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.01009,0.01009,-0.22552,-0.22552,0.40713,0.40713,0.39247,0.39247,-0.16685,-0.16685,-0.46987,-0.46987,220.0,220.0
1,46,0.92,0.01003,-0.21465,0.40249,0.38955,-0.16735,-0.46324,0.82581,0.82442,0.82728,0.8257,0.82429,0.82728,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.01023,0.01023,-0.23367,-0.23367,0.42285,0.42285,0.39626,0.39626,-0.16425,-0.16425,-0.48279,-0.48279,220.0,220.0
1,47,0.94,0.01017,-0.22276,0.41811,0.39352,-0.16489,-0.47622,0.82583,0.82444,0.82729,0.8257,0.8243,0.8273,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.01036,0.01036,-0.24188,-0.24188,0.43859,0.43859,0.39973,0.39973,-0.16141,-0.16141,-0.49549,-0.49549,220.0,220.0
1,48,0.96,0.0103,-0.23093,0.43377,0.39716,-0.16219,-0.48899,0.82582,0.82443,0.82728,0.82569,0.82428,0.82729,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.01049,0.01049,-0.25013,-0.25013,0.45434,0.45434,0.40289,0.40289,-0.15834,-0.15834,-0.50797,-0.50797,220.0,220.0
1,49,0.98,0.01044,-0.23916,0.44946,0.40049,-0.15926,-0.50155,0.82582,0.82444,0.82727,0.82569,0.82427,0.82729,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.01062,0.01062,-0.25841,-0.25841,0.47005,0.47005,0.40576,0.40576,-0.15508,-0.15508,-0.5202,-0.5202,220.0,220.0
1,50,1.0,0.01057,-0.24742,0.46512,0.40352,-0.15612,-0.51388,0.82582,0.82444,0.82727,0.82568,0.82426,0.8273,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.01075,0.01075,-0.26671,-0.26671,0.48569,0.48569,0.40836,0.40836,-0.15164,-0.15164,-0.53219,-0.53219,220.0,220.0
1,51,1.02,0.01069,-0.25571,0.48073,0.40627,-0.15279,-0.52596,0.82582,0.82445,0.82727,0.82569,0.82427,0.8273,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.01087,0.01087,-0.27501,-0.27501,0.50124,0.50124,0.4107,0.4107,-0.14804,-0.14804,-0.54391,-0.54391,220.0,220.0
1,52,1.04,0.01082,-0.264,0.49627,0.40876,-0.14931,-0.53779,0.82584,0.82447,0.82729,0.8257,0.82428,0.82731,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.011,0.011,-0.28329,-0.28329,0.51667,0.51667,0.41281,0.41281,-0.14431,-0.14431,-0.55535,-0.55535,220.0,220.0
1,53,1.06,0.01095,-0.27229,0.51171,0.41101,-0.14568,-0.54935,0.82583,0.82445,0.82727,0.82568,0.82426,0.8273,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.01112,0.01112,-0.29155,-0.29155,0.53196,0.53196,0.4147,0.4147,-0.14047,-0.14047,-0.56652,-0.56652,220.0,220.0
1,54,1.08,0.01107,-0.28056,0.52702,0.41303,-0.14193,-0.56064,0.82583,0.82446,0.82727,0.82569,0.82426,0.8273,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.01125,0.01125,-0.29977,-0.29977,0.5471,0.5471,0.41639,0.41639,-0.13656,-0.13656,-0.5774,-0.5774,220.0,220.0
1,55,1.1,0.0112,-0.2888,0.54219,0.41485,-0.13808,-0.57165,0.82584,0.82447,0.82728,0.82569,0.82427,0.82731,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.01138,0.01138,-0.30795,-0.30795,0.56205,0.56205,0.4179,0.4179,-0.13257,-0.13257,-0.588,-0.588,220.0,220.0
1,56,1.12,0.01133,-0.297,0.55719,0.41647,-0.13417,-0.58237,0.82584,0.82447,0.82728,0.82569,0.82427,0.82731,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.01151,0.01151,-0.31607,-0.31607,0.57682,0.57682,0.41925,0.41925,-0.12855,-0.12855,-0.5983,-0.5983,220.0,220.0
1,57,1.14,0.01146,-0.30515,0.57202,0.41793,-0.1302,-0.59282,0.82583,0.82446,0.82726,0.82568,0.82425,0.82731,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.01164,0.01164,-0.32413,-0.32413,0.59139,0.59139,0.42046,0.42046,-0.12451,-0.12451,-0.60832,-0.60832,220.0,220.0
1,58,1.16,0.01159,-0.31325,0.58665,0.41923,-0.1262,-0.60297,0.82583,0.82445,0.82727,0.82568,0.82425,0.8273,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.01178,0.01178,-0.33211,-0.33211,0.60575,0.60575,0.42153,0.42153,-0.12047,-0.12047,-0.61806,-0.61806,220.0,220.0
1,59,1.18,0.01173,-0.32128,0.60108,0.42039,-0.12219,-0.61285,0.82582,0.82445,0.82727,0.82568,0.82426,0.8273,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,0.01192,0.01192,-0.34003,-0.34003,0.61989,0.61989,0.42249,0.42249,-0.11645,-0.11645,-0.62751,-0.62751,220.0,220.0
1,60,1.2,0.01187,-0.32924,0.61531,0.42143,-0.11819,-0.62244,0.82583,0.82446,0.82727,0.82569,0.82426,0.82731,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,0.01207,0.01207,-0.34786,-0.34786,0.63381,0.63381,0.42334,0.42334,-0.11246,-0.11246,-0.63668,-0.63668,220.0,220.0
